Day fraction since midnight on 	air chamber (200kPa) (cm)	waste (100 psi) (cm)	PID control (0 to 1)	Pump Control ()				
0.555659698	-295.0799561	-42.7869072	0.706189475	1.409290847				
0.555659768	-295.0799561	-33.81442642	0.706189475	1.409290847				
0.555659837	-295.2164001	-30.22543335	0.706189475	1.409290847				
0.555659907	-292.8292542	-36.95479584	0.706189475	1.409290847				
0.555659976	-288.73703	-43.68415451	0.706189475	1.409290847				
0.555660045	-291.124176	-32.46855545	0.706189475	1.409290847				
0.555660115	-294.1932983	-25.73919678	0.70772834	1.412378949				
0.555660184	-289.7601013	-25.73919678	0.70772834	1.412378949				
0.555660254	-287.0319824	-17.88827705	0.70772834	1.412378949				
0.555660323	-282.5305176	-15.71992588	0.708232397	1.41545668				
0.555660392	-281.5756531	-27.60846519	0.708232397	1.41545668				
0.555660462	-278.8475037	-17.51442146	0.708232397	1.41545668				
0.555660531	-282.9397278	-16.766716	0.708232397	1.41545668				
0.555660601	-284.6448364	-21.25296021	0.708232397	1.41545668				
0.55566067	-281.2346191	-21.25295639	0.708232397	1.41545668				
0.555660739	-278.574707	-20.13139534	0.70972556	1.416464794				
0.555660832	-279.3022156	-47.04883575	0.70972556	1.416464794				
0.555660901	-281.2346497	-17.88827705	0.70972556	1.416464794				
0.555660948	-273.3912354	0.056680128	0.70972556	1.416464794				
0.555661017	-270.7009888	-15.27130795	0.70972556	1.416464794				
0.555661086	-269.9810486	-14.5235939	0.70972556	1.416464794				
0.555661156	-274.6416321	-10.78506756	0.70972556	1.416464794				
0.555661225	-269.0554504	-21.25296021	0.711428634	1.419451121				
0.555661295	-266.4571838	-23.77854538	0.711428634	1.419451121				
0.555661364	-266.7603455	-19.25907516	0.711782341	1.422857268				
0.555661433	-268.579071	-25.24072838	0.711782341	1.422857268				
0.555661503	-259.1821594	-17.26519012	0.711782341	1.422857268				
0.555661572	-259.0684814	-19.0098381	0.711782341	1.422857268				
0.555661642	-262.0239868	-19.3836937	0.711782341	1.422857268				
0.555661711	-260.3946533	-12.28047562	0.711782341	1.422857268				
0.55566178	-261.6071777	-13.27741909	0.711782341	1.422857268				
0.55566185	-260.0915527	-11.15891838	0.713245049	1.423564682				
0.555661919	-260.3946533	2.673653364	0.713245049	1.423564682				
0.555661989	-259.0684814	-20.13139534	0.713089004	1.426490098				
0.555662058	-253.7258606	-18.26213646	0.713089004	1.426490098				
0.555662127	-255.6583252	-6.672678471	0.713089004	1.426490098				
0.555662197	-248.8379669	-20.13139915	0.713089004	1.426490098				
0.555662266	-252.2481232	-5.551121235	0.713089004	1.426490098				
0.555662336	-250.2020111	4.542916298	0.713089004	1.426490098				
0.555662405	-249.7852325	-12.28048038	0.713089004	1.426490098				
0.555662474	-249.9974213	-8.915801048	0.708665292	1.426178008				
0.555662544	-252.3314819	-0.981804848	0.70800031	1.417330584				
0.555662613	-251.2250824	6.786030293	0.70800031	1.417330584				
0.555662683	-245.2383118	-4.30493784	0.70800031	1.417330584				
0.555662752	-241.6007843	-2.311056376	0.70800031	1.417330584				
0.555662821	-239.7820282	7.658354759	0.70800031	1.417330584				
0.555662891	-239.9714966	21.36631775	0.70800031	1.417330584				
0.55566296	-238.6074066	70.71495819	0.70800031	1.417330584				
0.555663053	-237.5843658	1986.338989	0.70457451	1.41600062				
0.555663099	-238.2663879	-40.31948853	0.70457451	1.41600062				
0.555663168	-238.2663879	521.0834961	0.703822234	1.40914902				
0.555663238	-245.0867462	397.0888367	0.703822234	1.40914902				
0.555663307	-251.2250519	277.0819702	0.703822234	1.40914902				
0.555663377	-274.4143066	237.8273468	0.703822234	1.40914902				
0.555663446	-319.4286194	255.7723236	0.703822234	1.40914902				
0.555663515	-344.6639404	231.9702911	0.703822234	1.40914902				
0.555663585	-362.3968811	262.5016174	0.703822234	1.40914902				
0.555663654	-376.0375671	244.5567169	0.703659832	1.407644468				
0.555663724	-392.8611145	261.8786011	0.703659832	1.407644468				
0.555663816	-390.360321	291.6622314	0.704381439	1.407319665				
0.555663862	-382.8579102	255.8969116	0.704381439	1.407319665				
0.555663932	-371.9454041	233.9641724	0.704381439	1.407319665				
0.555664001	-350.1202087	66.47792816	0.704381439	1.407319665				
