Day fraction since midnight on 	air chamber (200kPa) (cm)	waste (100 psi) (cm)	PID control (0 to 1)	Pump Control ()
0.6675799264	-366.5332031250	2.2075433731	0.1367103730	0.8144157352
0.6675799958	-367.5562744141	-16.8589744568	0.1367103730	0.8144157352
0.6675800652	-361.0769348145	-23.5883293152	0.1367103730	0.8144157352
0.6675801346	-363.4640197754	-3.4002540112	0.1367103730	0.8144157352
0.6675802040	-357.6667175293	11.1800241470	0.1367103730	0.8144157352
0.6675802734	-359.3718261719	12.3015832901	0.1367103730	0.8144157352
0.6675803428	-362.3728027344	15.7410354614	0.1384564020	0.8202622380
0.6675804122	-352.8924865723	9.6846122742	0.1384564020	0.8202622380
0.6675804816	-358.3715209961	10.6566295624	0.1384564020	0.8202622380
0.6675805510	-351.8921813965	16.8625926971	0.1383659871	0.8307384118
0.6675806204	-353.5745239258	5.4226846695	0.1383659871	0.8307384118
0.6675806898	-349.7551269531	-2.6525440216	0.1383659871	0.8307384118
0.6675807592	-351.0054931641	5.0488295555	0.1383659871	0.8307384118
0.6675808286	-346.0721130371	10.0584650040	0.1383659871	0.8307384118
0.6675808980	-343.6850280762	1.0859822035	0.1383659871	0.8307384118
0.6675809674	-343.0484619141	11.8529596329	0.1346104108	0.8301959225
0.6675810368	-339.3654479980	3.3291087151	0.1346104108	0.8301959225
0.6675811062	-339.2517700195	-3.4002580643	0.1325965578	0.8076624648
0.6675811756	-342.7301635742	16.4887371063	0.1325965578	0.8076624648
0.6675812450	-342.6619262695	-14.6158485413	0.1325965578	0.8076624648
0.6675813144	-336.1826171875	-11.2511739731	0.1325965578	0.8076624648
0.6675813838	-340.2748107910	-6.7649331093	0.1325965578	0.8076624648
0.6675814532	-337.5466918945	13.4231424332	0.1325965578	0.8076624648
0.6675815226	-335.2082824707	3.4893305302	0.1325965578	0.8076624648
0.6675815920	-335.1595764160	5.6469936371	0.1285153617	0.7955793469
0.6675816614	-359.0307922363	17.9093818665	0.1285153617	0.7955793469
0.6675817308	-376.2181091309	5.5722265244	0.1274833339	0.7710921703
0.6675818002	-391.7912597656	-8.6341962814	0.1274833339	0.7710921703
0.6675818696	-408.4783630371	-11.2511739731	0.1274833339	0.7710921703
0.6675819390	-413.2526550293	-10.1296129227	0.1274833339	0.7710921703
0.6675820084	-414.2756958008	14.5447034836	0.1274833339	0.7710921703
0.6675820778	-411.2065429688	5.5722227097	0.1274833339	0.7710921703
